Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus
6;Fickingen Fuckingen (Saarland);;;;1531;1531;WMD;WMD;;
2;Filzen (Hochwald);;49,6736;6,5632;1598;1598;WMD;WMD;ei;
1;Fischbach, Waldfischbach bei Türkheim;;49,284586;7,652663;1536;1536;WMD;WMD;ei;au
1;Fischingen;;;;1415;1415;WOD;Schwarzwald;i;u
1;Flaach bei Andelfingen;;;;NN;NN;CH;CH;;u
4;Flacht;;;;1462;1462;WMD;WMD;ei;
6;Flamersheim;;;;NN;NN;WMD;WMD;i_ei;
2;Flamersheim (bei Münstereifel);;;;NN;NN;WMD;WMD;ei;
3;Flieden;;;;1442;1442;MDT;Hessen;i;
3;Flieden bei Schlüchtern;;50,42;9,57;1442;1442;MDT;Hessen;;
1;Fossenhelde;;50,370833;8,015833;1444;1444;MDT;MDT;ei;
1;Fossenhelde = Fuchshöhe bei Diez;;50,370833;8,015833;1383;1383;MDT;MDT;ei;
1;Fossenhelde = Fuchshöhe bei Diez;;50,370833;8,015833;1444;1444;WMD;WMD;;
3;Franken, ordnung des Kampfrechts am Landgericht zu Franken;Osternach, Ramburg;;;1609;1609;MDT;Franken;;au
1;Frankenstein (bei Darmstadt Zwingenberg);;;;NN;NN;MDT;MDT;ei;
6;Frankfurt;;50,110556;8,682222;NN;NN;WMD;WMD;ei;
2;Frauenberg (bei Zülpich);;;;1559;1559;WMD;WMD;;au
4;Frauenfeld;;47,55606;8,89795;NN;NN;CH;CH;;
6;Frechen (bei Köln);;50,913333;6,813889;NN;NN;WMD;WMD;i_ei;
5;Freudenstadt;;48,46333333;8,411111111;1429;1429;WOD;Baden;;
2;Fritzdorf (beo Bonn);;;;1515;1515;WMD;WMD;ei;
2;Fritzdorf bei Remagen;;50,595998;7,090173;1515;1515;WMD;WMD;;
5;Fulda;;50,555894;9,681372;1435;1435;MDT;Hessen;;
1;Gärteshecken bei Burgschwalbach und Hanstetten;;50,283222;8,080275;1540;1540;MDT;MDT;ei;
2;Gartzem (bei Münstereifel);;;;1573;1573;WMD;WMD;ei;
5;Gebhardswil, Ufhofen und im Ruetlen;Gebhardswil;47;9;1466;1466;CH;CH;;u
5;Gebweiler;;47,9075;7,210277778;1444;1444;Elsass;Elsass;i;
4;Gebweiler bei Sulz;;47,9075;7,210278;1397;1397;Elsass;Elsass;i;
6;Gehrde (bei Deister, Leine);;;;1675;1675;NDT;Niedersachsen;;au
6;Gehrde (bei Deister, Leine);;;;1594;1594;NDT;Niedersachsen;;
6;Geimersheim;;49,886202;8,399345;NN;NN;OOD;Baiern;ei;au
6;Geisenfeld bei Ingolstadt;;48,683889;11,611389;NN;NN;OOD;Baiern;;au
6;Geisfeld (bei Hermeskeil);;;;1607;1607;WMD;WMD;ei;au
1;Geispolzheim ;Geispizheim;;;NN;NN;Elsass;Elsass;ei;
4;Geisweiler Kanton Hochfelden;;48,788056;7,505;1550;16. Jh.;Elsass;Elsass;;
2;Gemünden (an der Simmer);Gemünden (Hunsrück);;;NN;NN;WMD;WMD;ei;au
5;Gensheim Ginsheimb;;;;NN;NN;WMD;WMD;ei;
2;Genzingen;;;;NN;NN;WMD;WMD;ei;
4;Genzingen;;49,898056;7,928056;1491;1491;WMD;WMD;i;
4;Genzingen;;49,898056;7,928056;NN;NN;WMD;WMD;ei;
1;Gerau;;;;NN;NN;MDT;MDT;ei;
1;Gerau bei Darmstadt;;49,921389;8,481806;NN;NN;MDT;MDT;;
6;Gersthofen;;48,41666667;10,86666667;1510;vor 1511;WOD;Schwaben;;
4;Gewenheim;;;;1579;1579;Elsass;Elsass;ei;
4;Gildwiller;;47,68944444;7,134166667;NN;1394-1625;Elsass;Elsass;ei;
6;Gillenbeuren (bei Cochem);;;;1554;1554;WMD;WMD;ei;
5;Ginnersdorf (Gönnersdorf);;50;7;1494;1494;MDT;Hessen;;
5;Gleiszweiler;;49;8;1568;1568;WMD;WMD;ei;au
6;Glitzem (bei Trier);;;;1550;1550;WMD;WMD;ei;
3;Goddelsheim;;51,18;9,02;1685;1685;NDT;Westfalen;;
2;Godesberg (bei Bonn);;;;1577;1577;WMD;WMD;ei;au
5;Goellheim (bei Grünstadt);;;;1450;1450;WMD;WMD;ei;au
5;Goersdorf;;;;NN;NN;Elsass;Elsass;ei;au
6;Goldburghausen bei Nördlingen;;48,850556;10,433889;1575;1575;WOD;Schwaben;ei;au
6;Goldburghausen bei Nördlingen;;48,850556;10,433889;1675;1675;WOD;Schwaben;;
2;Gondenbret (Prüm);Gondenbrett;50,235556;6,414722;NN;NN;WMD;WMD;ei;au
2;Gondorf (Mosel);;;;NN;NN;WMD;WMD;ei;
2;Göstingen;;;;1539;1539;WMD;WMD;;au
4;Gottlieben;;;;1521;1521;CH;CH;i;u
2;Graach;;;;1586;1586;WMD;WMD;ei;au
2;Gräferath (Eifel);;;;1615;1615;WMD;WMD;ei;
6;Greggenhofen im Allgäu bei Sonthofen;;47,570722;10,268194;1387;1387;WOD;Schwaben;ei;
5;Grendelbruch (Kanton Rosheim);;;;1550;Abschrift 1550;Elsass;Elsass;;au
4;Grenzingen (zwischen Queich, Lauter, Nahe, Rhein);;47,565278;7,298889;NN;NN;WMD;WMD;;au
4;Grenzingen (zwischen Queich, Lauter, Nahe, Rhein);;47,565278;7,298889;1491;1491;WMD;WMD;i;
4;Grenzingen Henflingen bei Riespach;;47,565278;7,298889;1420;1420;Elsass;Elsass;i;
5;Greplang (St. Gallen);;;;1450;15. Jh;CH;CH;;u
6;Gressenich;;50,77277778;6,300277778;1602;1602;WMD;WMD;;
1;Gressweiler (J. Grimm findet diesen Ort nicht);;48,535278;7,430556;NN;NN;Elsass;Elsass;;
6;Greusenheim (Rotfels);;;;1448;1448;MDT;Franken;ei;
5;Griesbach (Elsass, Buchsweiler);Griesbach-le-Bastberg;;;1514;1514;Elsass;Elsass;;u
4;Griesheim;;;;1462;1462;Elsass;Elsass;ei;
5;Griesheim (Elsass);;;;1340;1340;Elsass;Elsass;i;
5;Griespach Griesbach (bei Münster);;;;NN;NN;Elsass;Elsass;i;
3;Grimmenstein;;47,61527778;16,12666667;NN;NN;OOD;AT;;
;Grinderwald (bei Nienburg);;;;1540;1540;NDT;Niedersachsen;;au
5;Groß Bockenheim;;50;8;1300;1300;WMD;WMD;ei;au
5;Großauheim (am Main bei Hanau);;;;1550;16. Jh.;MDT;Hessen;;au
6;Grosselfingen bei Nördlingen;;48,837265;10,56111;NN;Abschrift 17. Jh.;WOD;Schwaben;ei;au
3;Großen Bursla;;51,12;10,12;1441;1441;MDT;Hessen;;
1;Grosskems;;;;1384;1384;Elsass;Elsass;i;
5;Großlinden;;51;9;1537;1537;MDT;Hessen;;
5;Grub (Elsass);Fouchy, Grube im Weilertal;48,327222;7,270833;NN;NN;Elsass;Elsass;;u_au
3;Gümmerwald (südl. von Hannover);;;;1605;1605;NDT;Niedersachsen;;au
2;Güsten bei Jülich;;50,959167;6,430278;1431;1431;WMD;WMD;;
2;Gutenberg (Hundsrück, Nahe);;49,879722;7,798611;1498;1498;WMD;WMD;ei;
4;Guttenberg bei Kreuznach;;49,879722;7,798611;NN;NN;WMD;WMD;;
6;Gutweiler bei Trier;;49,72;6,726667;1558;1558;WMD;WMD;ei;
1;Hachberg;;;;1341;1341;WOD;Schwarzwald;i;
1;Hägbach im Kinzigthal;;48,290644;8,272019;1487;1487;WOD;Baden;;
3;Hagen;;51,36;7,48;1513;1513;NDT;Westfalen;;
5;Hagenwil (bei Bischofzell);;;;1441;1441;CH;CH;;au
3;Haidenfeld;;49,76;9,52;1420;1420;MDT;Franken;;
3;Haidenfeld;;;;1420;1420;MDT;Franken;i_ei;
1;Hain bei Dreieich;;49,999792;8,711944;NN;NN;MDT;MDT;;
4;Hainhausen;;;;1500;1500;MDT;MDT;i;
2;Halsenbach u. Bickenbach;;;;1647;1647;WMD;WMD;ei;
1;Haltingen (Mosel);;;;1450;15. Jh. ;WMD;WMD;i;
6;Hanenbach (bei Kirn);;;;1478;1478;WMD;WMD;;au
5;Hanofen Heimofen (bei Speyer);;;;NN;NN;WMD;WMD;i;
2;Harlingen (Saar);;;;1570;1570;WMD;WMD;ei;
6;Harzheim (bei Münstereifel);;;;NN;NN;WMD;WMD;;au
2;Hasborn;;50,0525;6,91;1545;1545;WMD;WMD;;
1;Haselach (bei Molsheim);;;;1336;1336;Elsass;Elsass;ei;u
5;Haßloch;;49,36305556;8,255833333;1492;1492;WMD;WMD;;au
5;Hatten;;53,03888889;8,338611111;1490;1490;Elsass;Elsass;;
3;Hattenegge Hattingen;;51,4;7,18;1550;16. Jh.;NDT;Westfalen;;
3;Hattenegge Hattingen;;51,4;7,18;NN;NN;NDT;Westfalen;;
5;Hattgau;;;;1494;1494;Elsass;Elsass;i_ei;u_au
3;Hattingen;;51,4;7,18;1550;16. Jh.;NDT;Westfalen;;
5;Hattweiler;;;;1575;1575;WMD;WMD;ei;au
3;Hausen;;49,9;11,03;1449;1449;MDT;Franken;;
3;Hausen;;;;1449;1449;MDT;Franken;ei;
4;Hausen Obertshausen bei Offenbach;;50,075898;8,864079;1550;16. Jh.;MDT;MDT;;
4;Hecken;;;;1661;1661;Elsass;Elsass;ei;
5;Hefenhofen (Thurgau);;;;1467;1467;CH;CH;;u_au
1;Hege;;;;1396;1396;CH;CH;i;
1;Hege;;;;1464;1464;CH;CH;i;
4;Hegi;;;;NN;NN;CH;CH;i;
3;Heidenheim;Wassertrüdingen;;;1482;1482;MDT;Franken;ei;
6;Heidenheim Kloster Anhausen;;;;1526;1526;MDT;Franken;ei;
3;Heigenfeld (bei Dietershausen);;;;1453;1453;MDT;Hessen;;u
1;Heiligenberg;;;;1485;1485;Elsass;Elsass;i;
1;Heimbach Weiss Gladbach (bei Koblenz);;;;1630;1630;MDT;MDT;ei;
1;Heimbach, Weiss, Gladbach bei Koblenz;;50,450455;7,538711;1630;1630;WMD;WMD;;
4;Heimersheim;;;;1413;1413;Elsass;Elsass;ei;au
4;Heimsbrunn bei Mühlhausen;;47,726667;7,226389;1301;14. Jh. Anfang;Elsass;Elsass;i;u
3;Heimwald;;;;NN;NN;NDT;Niedersachsen;;au
6;Helblingstatt jetzt Helmstatt;;;;1410;1410;MDT;Franken;i;
5;Heldenberg;;48,5;15,95;1433;1433;MDT;Hessen;;
2;Helfant (Obermosel);;49,58891;6,41285;NN;NN;WMD;WMD;ei;
5;Helfenswil Linggenwil Amtenzell;;;;1450;15. Jh.;CH;CH;i;u
3;Helmstatt;;49,77;9,72;1410;1410;MDT;Franken;i;
4;Hemmendorf;;52,084444;9,600833;NN;NN;NDT;Niedersachsen;;au
1;Hengweiler;;;;1584;1584;Elsass;Elsass;ei;au
5;Heppenheim;;49,64152778;8,645;1497;1497;MDT;MDT;ei;
5;Heppenheim;;49,64152778;8,645;1494;1494;MDT;MDT;;
4;Heratingen Ratoldswil;;47,09393;8,27287;1400;um 1400;CH;CH;;
2;Herbizheim;;;;1458;1458;WMD;WMD;i;
4;Herlisheim bei Colmar;;;;1454;1454;Elsass;Elsass;ei;
5;Hermetsschwil;Hermetschwil;47,33177;8,34526;1415;1415;CH;CH;i;u
3;Herolz;;;;1417;1417;MDT;Hessen;i;
3;Herolz (bei Schlüchtern);;;;1417;1417;MDT;Hessen;i;
3;Herrnbreitingen;;50,75;10,35;1506;1506;MDT;Franken/Thüringen;;au
3;Herrnbreitingen;;50,75;10,35;1499;1499;MDT;Franken/Thüringen;;
1;Herspach bei Dierdorf;;50,575;7,739167;1557;1557;WMD;WMD;;
5;Herxheim am Berg;;;;NN;NN;WMD;WMD;ei;
1;Herzogenbuchs;;;;NN;NN;CH;CH;i;
6;Hessigheim;;;;1424;1424;WOD;Schwaben;ei;u
2;Hetzerad (Esch);;;;1561;1561;WMD;WMD;ei;
2;Hetzerad (Mosel);;49,878333;6,814167;1561;1561;WMD;WMD;;
3;Hetzerodt;Hettenrodt;;;NN;NN;WMD;WMD;i_ei;
3;Hilden (bei Düsseldorf);;;;1386;1386;NDT;Westfalen;ei;
4;Hildesheim;;;;1479;1479;NDT;Niedersachsen;;u
4;Hildesheim;;;;1430;1430;NDT;Niedersachsen;;
6;Hillesheim;;50,293056;6,675;NN;NN;WMD;WMD;ei;
5;Hindisheim;;;;NN;NN;Elsass;Elsass;ei;
4;Hirsingen (bei Altkirch);;;;1303;1303;Elsass;Elsass;;u
4;Hirslanden Stadelhofen;;;;1538;1538;CH;CH;i;
5;Hochstetten;;50;8;1543;1543;WMD;WMD;ei;au
4;Hochwald;;49,675389;6,834889;1546;1546;WMD;WMD;;au
6;Hoenningen;;;;1450;15. Jh.;WMD;WMD;i;
5;Hoerdt;Hördt;49,16555556;8,326388889;1565;1565;Elsass;Elsass;ei;
6;Hoevels bei Daun und Hillesheim;;50,198611;6,831944;1559;1559;WMD;WMD;ei;
3;Hofbibra;Hofbieber;;;1525;1525;MDT;Hessen;ei;
6;Hofheim (bei Haßfurt);;;;NN;NN;MDT;Franken;ei;au
3;Hofmark bei Landshut;;48,49;12,19;1554;1554;OOD;Baiern;;
3;Hofstätten, Massenbuch, Halsbach;Hofstetten (Gemünden am Main);;;1456;1456;MDT;Franken;ei;
3;Hofstätten, Massenbuch, Halsbach;Hofstetten (Gemünden am Main);;;1552;1552;MDT;Franken;ei;
3;Hofstetten/Hofstätten;;50,03;9,66;1384;1384;MDT;Franken;;
3;Hofstetten/Hofstätten;;50,03;9,66;1456;1456;MDT;Franken;;
1;Hohenfrankenheim bei Brumat, Maursmünster;;48,730833;7,577222;NN;NN;Elsass;Elsass;ei;
3;Hohenhameln;;;;1579;1579;NDT;Niedersachsen;;au
3;Hohenlimburg;;51,35;7,57;1500;um 1500;NDT;Westfalen;;
5;Hohennack (bei Münster am Kaiserberg);;;;1441;1441;Elsass;Elsass;i;u
4;Hohenrodern;;47,78;7,092222;1354;1354;Elsass;Elsass;i;
5;Holderbank;;47;8;1424;1424;CH;CH;i;
3;Hollerrecht;Ottersberg;;;1604;1604;NDT;Westfalen;;au
3;Holtmarke (bei Leerbek, Nesen);;;;1516;1516;NDT;Niedersachsen;;u
6;Holzkirchen bei Öttingen;;48,955278;10,605278;1450;1450;WOD;Schwaben;ei;au
3;Homer;;51,782125;6,76852;1490;1490;NDT;Westfalen;;u
1;Höngg;;;;1338;1338;CH;CH;i;
1;Höngg;;;;1338;1338;CH;CH;i;
1;Höngg an der Limmat;;47,401979;8,499374;1338;1338;CH;CH;;u
3;Hoppenbruch (bei Hannover, Blumenau);;;;1605;1605;NDT;Niedersachsen;;au
1;Hornau Kelchheim;;50,147222;8,451389;1482;1482;MDT;MDT;i;
5;Hornbach (bei Zweibrücken);;;;NN;1354 Abschrift 17. Jh.;WMD;WMD;ei;au
6;Hospelt;;;;1547;1547;WMD;WMD;;
6;Hospelt;;;;1622;1622;WMD;WMD;;au
2;Hottenbach;;;;NN;NN;WMD;WMD;ei;
4;Hügelheim am Rhein bei Mülheim;;;;NN;NN;WOD;Schwarzwald;i;
6;Huisheim bei Allerheim;;48,824444;10,704722;1505;1505;WOD;Schwaben;ei;au
3;Hülsede;;;;NN;NN;NDT;Niedersachsen;;au
4;Hundspach;Hunspach;;;1588;1588;Elsass;Elsass;ei;
1;Hüningen (bei Basel);;;;NN;NN;Elsass;Elsass;i;
4;Hürtigheim (bei Fessenheim und Strasbourg);;;;1454;1454;Elsass;Elsass;ei;
1;Ickstadt bei Epstein;;;;1483;1483;MDT;MDT;;au
2;Igel;;;;1537;1537;WMD;WMD;ei;au
3;Illhausen;Illnhausen;50,4;9,27;1460;1460;MDT;Hessen;;u
1;Imbsheim;Imsheim;;;1559;1559;Elsass;Elsass;ei;
2;Immerath (Eifel);;;;NN;NN;WMD;WMD;ei;
2;Immeroth (Eifel);;;;1660;1660;WMD;WMD;ei;au
1;Ingemersheim;;;;NN;NN;Elsass;Elsass;i;
5;Ingwiller;;;;NN;NN;Elsass;Elsass;i;
1;Interlaken;;;;1404;1404;CH;CH;;u
3;Irnich;Schwerfen;;;1419;1419;WMD;WMD;I;
3;Irnich Schwerfen;;50,64;6,65;1491;1491;NDT;Westfalen;i;
2;Irsch bei Trier;;49,724397;6,699228;1497;1497;WMD;WMD;;
6;Irsch Serrig Beurig bei Saarburg;;49,605;6,594444;1550;16. Jh.;WMD;WMD;ei;
4;Issenheim;;;;1382;1382;Elsass;Elsass;i;u
6;Istein Huttingen am Rhein;;;;NN;NN;WOD;Schwarzwald;i;
2;Ittel;;;;1561;1561;WMD;WMD;i;
1;Ittenheim ;;;;1550;16. Jh.;Elsass;Elsass;i;
6;Itter;;51,206;8,945;1765;1765;WMD;WMD;;
6;Itzlingen bei Schneidheim;;48,905126;10,356232;1625;1625;WOD;Schwaben;ei;au
4;Jebsheim bei Colmar;;48,123611;7,476667;1590;16. Jh. Ende;Elsass;Elsass;i;
4;Kaisers Dinghof Egissheim;;;;1559;1559;Elsass;Elsass;ei;
5;Kalbach (bei Büdingen);;;;1525;1525;MDT;MDT;i_ei;
5;Kalstadt Ungstein Pfeffingen;;;;1417;1417;WMD;WMD;i;
3;Kaltensondheim;;;;1468;1468;MDT;Franken;ei;
6;Karbach;;;;1448;1448;MDT;Franken;i_ei;
4;Karspach;;47,61527778;7,211944444;1420;1420;Elsass;Elsass;i;
2;Kellenbach bei Kirn;;49,8475;7,495;1560;1560;WMD;WMD;ei;au
6;Kelz bei Düren;;50,768611;6,595;NN;NN;WMD;WMD;;
2;Kempenich (Eifel);;;;1562;1562;WMD;WMD;;au
6;Kempenich (Eifel);;;;1624;1624;WMD;WMD;;au
2;Kenfuss;;50,088361;7,020733;1500;1500;WMD;WMD;ei;au
6;Kenne (Mosel);;;;1350;14. Jh.;WMD;WMD;i;
6;Kerlich Eifel;;50,386944;7,495278;1551;1551;WMD;WMD;ei;
2;Kern (Mosel);;;;1680;1680;WMD;WMD;ei;
6;Kesselheim Eifel bzw Rhein;;50,396389;7,585556;1551;1551;WMD;WMD;ei;
3;Keuchen;;50,26;8,84;1401;15. Jh. Anfang;MDT;Hessen;;
4;Kienzheim bei Sigolsheim;;;;1597;1597-1734;Elsass;Elsass;ei;
1;Kilchberg Kirchberg Grafschaft Toggenburg;;47,400001;9,033339;1515;1515;CH;CH;;
5;Kintzheim;;;;NN;NN;Elsass;Elsass;i;au
1;Kirburg bei Bad Marienberg;;;;1582;1582;MDT;MDT;;au
6;Kirchheim am Neckar bei Besigheim;;49,043889;9,146389;1497;1497;WOD;Schwaben;;au
1;Kirchzarten;;;;1395;1395;WOD;Schwarzwald;i;
6;Kirchzell;;;;1395;1395;MDT;Franken;i;
2;Kirst Thirn (Mosel);;;;NN;NN;WMD;WMD;ei;
2;Kirst und Thirn (Mosel);;;;NN;NN;WMD;WMD;ei;
5;Klein Nidesheim Utzelsheim Bobenheim (bei Worms und Frankenthal);;;;NN;NN;WMD;WMD;ei;au
4;Kleinbieberau;;;;1481;1481;WMD;WMD;;au
1;Kleinfrankenheim;;;;NN;NN;Elsass;Elsass;ei;
5;Kleinfrankenheim (bei Truchersheim);;;;1307;1307;Elsass;Elsass;i;
2;Kleinich bei Berncastel;;49,892811;7,186069;NN;NN;WMD;WMD;;
1;Kleinkembs;;;;1350;1350;WOD;Schwarzwald;i;u
5;Kleinlinden;;;;1577;1577;MDT;Hessen;ei;
3;Kleinwelzheim;;50,04;8,98;1533;1533;MDT;Franken;;
3;Kleinwelzheim;;;;1533;1533;MDT;Franken;ei;
5;Klingenberg (im Thurgau);;;;1449;1449;CH;CH;;u
5;Klingenmuenster Abtei zu Vorder-Weidenthal;;;;1530;Um 1530;WMD;WMD;;au
6;Kloster Anhausen (bei Heidenheim und Geißlingen);;;;NN;NN;WOD;Schwaben;ei;
6;Kloster Baumburg Altenmarkt;Altenmarkt;;;1439;1439;OOD;Baiern;;au
6;Kloster Baumburg Altenmarkt an der Alz;;47,998056;12,530833;1439;1439;OOD;Baiern;ei;
1;Kloster Engelberg Hofrodel;;46,820556;8,409722;1290;13. Jh. Ende;CH;CH;;u
4;Kloster Münstertreis zu Dreis;Münsterdreisen;;;1357;1357;WMD;WMD;i_ei;
2;Kloster Neumünster (Saar);;49,404167;7,163611;NN;NN;WMD;WMD;i;u
1;Knonau;;;;1461;1461;CH;CH;;u
4;Knonau;;;;1414;1414;CH;CH;i;
2;Kobern (Mosel);;;;NN;NN;WMD;WMD;ei;
2;Kochenheim (bei Euskirchen);;;;NN;NN;WMD;WMD;;au
5;Koellikon;Köllikon;47;8;1401;15. Jh. Anfang;CH;CH;i;u
2;Köllerthal;;;;NN;NN;WMD;WMD;i;
2;Köln;;50,93805556;6,956944444;1375;1375;WMD;WMD;;
2;Königreich (Saar bei Horchweiler);ggf. Merchweiler;;;1550;1550;WMD;WMD;ei;
4;Königstein;;50,183125;8,463541667;NN;NN;WMD;WMD;i;
2;Krahnenforst (bei Münstereifel);;;;1586;1586;WMD;WMD;ei;au
6;Kretz bei Andernach;;50,395833;7,361667;NN;NN;WMD;WMD;ei;
6;Kreuzwertheim am Main;;;;1449;1449;MDT;Franken;i_ei;
5;Kriessern;;47;10;1428;1428;CH;CH;;
1;Kriftel (Borne und Crüftel);;;;1556;1556;MDT;MDT;ei;
3;Krotzenburg;;50,08;8,98;1415;1415;MDT;Franken;;
2;Kruft bei Maria Laach;;50,386389;7,3375;1482;1482;WMD;WMD;;
4;Kuenheim;;;;1513;1513;Elsass;Elsass;i_ei;
5;Kuessenberg;;;;1497;1497;WOD;Schwarzwald;i;
6;Kurrenberg Eifel;;50,337935;7,157963;1454;1454;WMD;WMD;;
6;Kurrenberg Eifel;;50,337935;7,157963;1518;1518;WMD;WMD;;
5;Kusel (bei Baumholder);;;;NN;NN;WMD;WMD;i;
4;Kyburg;;47,4571;8,74445;1487;1487;CH;CH;;
1;Kyburg bei Zürich;;47,4571;8,74445;1505;vor 1506;CH;CH;;u
6;Kyllburg (an der Kyll);;;;NN;NN;WMD;WMD;ei;
2;Lampaden;;;;NN;NN;WMD;WMD;ei;au
5;Lampersloch;;;;NN;NN;Elsass;Elsass;ei;
4;Lampertsheim;;;;1571;1571;WMD;WMD;ei;
1;Landau;;49,199444;8,123056;1295;1295;Elsass;Elsass;;
1;Landau;;49,199444;8,123056;1295;1295;WMD;WMD;;
1;Landsberg (bei Heppenheim);;;;1430;1430;WOD;Schwarzwald;ei;
5;Landstuhl;;49,41222222;7,572222222;NN;NN;MDT;MDT;;
1;Langenerchingen Landorf Mülheim bei Frauenfeld;;47,5638;8,9079;NN;NN;CH;CH;ei;
3;Langenerringen;;;;1378;1378;WOD;Schwaben;i;
6;Langenfeld bei Mayen;;50,376389;7,093889;1666;1666;WMD;WMD;;
2;Langenlonsheim;;;;NN;NN;WMD;WMD;ei;
2;Langsur (Mosel);;;;NN;NN;WMD;WMD;;au
4;Laubersheim;;;;1482;1482;WMD;WMD;ei;
6;Laudenbach bei Karlstadt am Main;;49,745833;9,176111;1468;1468;MDT;Franken;;
3;Lauenstein;;52,08;9,55;1578;1578;NDT;Niedersachsen;;au
4;Lauenstein (Niedersachsen);;;;NN;NN;NDT;Niedersachsen;;au
4;Lauenstein bei Worms;;52,08;9,55;1637;1637;NDT;Niedersachsen;;
1;Laufen bei Adelfingen;;47,67111;8,636943;NN;NN;CH;CH;;u
3;Lauterbach;;50,64;9,4;1589;1589;MDT;Hessen;ei;
3;Lauterbach;;50,64;9,4;1569;1569;MDT;Hessen;;
3;Lauterbach;;50,64;9,4;1350;14. Jh.;MDT;Hessen;;
3;Lauterbach;;;;1469;1469;MDT;Hessen;ei;au
1;Lautern ;Kaiserslautern;;;NN;NN;WMD;WMD;;u
1;Lax (Graubünden);;46,81;9,26;1303;1303;CH;CH;;
4;Leberach bei Schletsstadt;;48,259444;7,454167;1202;13. Jh. Anfang;Elsass;Elsass;;u
2;Leiningen (Saar);;50,133333;7,570278;NN;NN;WMD;WMD;;
6;Leiwen (Mosel);;;;1546;1546;WMD;WMD;ei;
3;Lengfurt;;;;1448;1448;MDT;Franken;i_ei;
3;Lengfurt;;;;1448;1448;MDT;Franken;ei;
2;Leningenaltorf (Saar);;;;NN;NN;WMD;WMD;ei;
2;Leye (Mosel/Eifel);;;;1555;1555;WMD;WMD;ei;
3;Lichenrode;;51,02;9,59;1388;1388;MDT;Hessen;;
6;Liebenau;;47,936667;12,9325;NN;NN;OOD;Baiern;;
2;Liesdorf (Saar);;;;1458;1458;WMD;WMD;ei;u
5;Limburg;;;;1448;1448;WMD;WMD;i;u
