Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein
5;Hanofen Heimofen (bei Speyer);;;;NN;NN;WMD;WMD;i
5;Kusel (bei Baumholder);;;;NN;NN;WMD;WMD;i
5;Rodenbach (am Eisbach);;;;NN;NN;WMD;WMD;i
2;Neumagen (Mosel);;;;1315;1315;WMD;WMD;ei
3;PrÃ¼m;;;;1339;vor 1640;WMD;WMD;ei
5;Queichhambach (bei Anweiler und Landau);;;;1382;1382;WMD;WMD;ei
2;Eschweiler;;;;1401;1401;WMD;WMD;ei
2;Eschweiler (Weisthum des GlÃ¶ckners);;;;1401;1401;WMD;WMD;ei
2;Dreiborn;Dreiborn (Schleiden) ;;;1419;1419;WMD;WMD;ei
6;Fankel;;;;1446;1446;WMD;WMD;ei
5;Weidenthal (bei Kaiserslautern und Neustadt);;;;1448;1448;WMD;WMD;ei
5;Gollheim (bei GrÃ¼nstadt);;;;1450;1450;WMD;WMD;ei
6;Obermendig (bei Mendig);;;;1452;1452;WMD;WMD;ei
2;Liesdorf (Saar);;;;1458;1458;WMD;WMD;ei
2;Fankel;;;;1459;1459;WMD;WMD;ei
2;Carden (Mosel);;;;1462;1462;WMD;WMD;ei
2;Faha;;;;1462;1462;WMD;WMD;ei
4;Flacht;;;;1462;1462;WMD;WMD;ei
2;Catharein Ostern;? Gegend Tholey;;;1463;1463;WMD;WMD;ei
2;Perl;Perl (Mosel) ;;;1468;1468;WMD;WMD;ei
5;Bertzweiler (bei Lauterecken und Wolfstein);;;;1469;1469;WMD;WMD;ei
2;Pronzfeld (PrÃ¼m);;;;1476;1476;WMD;WMD;ei
5;Webenheim Minbach (bei Blieskastel);;;;1476;1476;WMD;WMD;ei
2;Senheim (Mosel);;;;1482;1482;WMD;WMD;ei
2;Senheim (Mosel);;;;1482;1482;WMD;WMD;ei
4;Laubersheim;;;;1482;1482;WMD;WMD;ei
5;Mittelbrexbach;;;;1482;1482;WMD;WMD;ei
2;Metloch (Saar);;;;1485;1485;WMD;WMD;ei
2;Taben (Saar);;;;1486;1486;WMD;WMD;ei
2;Auen;Auen (HunsrÃ¼ck) ;;;1488;1488;WMD;WMD;ei
2;Niederweis;;;;1497;1497;WMD;WMD;ei
2;WalmÃ¼nster (Saar);;;;1497;1497;WMD;WMD;ei
2;Kenfuss;;;;1500;1500;WMD;WMD;ei
2;Scheidweiler (Mosel);;;;1506;1506;WMD;WMD;ei
2;Steinecken;SchÃ¶necken;;;1506;1506;WMD;WMD;ei
2;ZurmÃ¼hlen (Mosel);;;;1506;1506;WMD;WMD;ei
2;Alflen;;;;1507;1507;WMD;WMD;ei
2;Wulferscheid (Mosel);;;;1507;1507;WMD;WMD;ei
2;Schleich (Mosel);;;;1508;1508;WMD;WMD;ei
4;Nackenheim;;;;1510;1510;WMD;WMD;ei
2;Michelnbach;Tholey ggf. Macherbach;;;1514;1514;WMD;WMD;ei
2;Fritzdorf (beo Bonn);;;;1515;1515;WMD;WMD;ei
5;Lingenfeld;;;;1515;1515;WMD;WMD;ei
2;Schweich (PrÃ¼m);;;;1517;1517;WMD;WMD;ei
2;MÃ¶ringer Wald;Blankenheim-Wald;;;1518;1518;WMD;WMD;ei
2;Spang (Eifel);;;;1518;1518;WMD;WMD;ei
4;Treyssen;;;;1526;1526;WMD;WMD;ei
6;Wendelsheim (bei Alzey);;;;1526;1526;WMD;WMD;ei
2;Faha;;;;1529;1529;WMD;WMD;ei
2;LÃ¶ssenich (bei MÃ¼nstereifel);;;;1529;1529;WMD;WMD;ei
2;Merzig (Saar);;;;1529;1529;WMD;WMD;ei
2;Rech;bei Metloch;;;1529;1529;WMD;WMD;ei
6;Merzig an der Saar;;;;1529;1529;WMD;WMD;ei
2;Emmel (Mosel);;;;1532;1532;WMD;WMD;ei
2;Nalbach;;;;1532;1532;WMD;WMD;ei
2;Ranspach (Saar);;;;1532;1532;WMD;WMD;ei
2;Trittenheim;;;;1532;1532;WMD;WMD;ei
2;Zedingen;;;;1534;1534;WMD;WMD;ei
2;Metternich (bei Koblenz);;;;1536;1536;WMD;WMD;ei
2;Igel;;;;1537;1537;WMD;WMD;ei
2;Riol und Velle (Mosel);;;;1537;1537;WMD;WMD;ei
6;Mandern;;;;1537;1537;WMD;WMD;ei
2;Mengerschied (HundsrÃ¼ck);;;;1539;1539;WMD;WMD;ei
2;Besch;;;;1541;1541;WMD;WMD;ei
2;Martinsdorf;;;;1542;1542;WMD;WMD;ei
2;Oberdomphan;;;;1542;1542;WMD;WMD;ei
2;Pluwig;;;;1542;1542;WMD;WMD;ei
2;Pellingen;;;;1545;1545;WMD;WMD;ei
6;Leiwen (Mosel);;;;1546;1546;WMD;WMD;ei
2;Buschhoven;;;;1547;1547;WMD;WMD;ei
2;Carden (Mosel);;;;1547;1547;WMD;WMD;ei
6;Bernsberg (bei Aachen);;;;1547;1547;WMD;WMD;ei
2;Aach;;;;1550;1550;WMD;WMD;ei
2;KÃ¶nigreich (Saar bei Horchweiler);ggf. Merchweiler;;;1550;1550;WMD;WMD;ei
3;Orenofen (an der Kill);;;;1550;1550;WMD;WMD;ei
6;Glitzem (bei Trier);;;;1550;1550;WMD;WMD;ei
2;Buch;Buch (HunsrÃ¼ck);;;1551;1551;WMD;WMD;ei
2;Endenich (Bonn);;;;1552;1552;WMD;WMD;ei
6;Gillenbeuren (bei Cochem);;;;1554;1554;WMD;WMD;ei
2;Leye (Mosel/Eifel);;;;1555;1555;WMD;WMD;ei
4;Muggenhausen (Schwarzmaar);;;;1555;1555;WMD;WMD;ei
2;SaarbrÃ¼cken;;;;1557;1557;WMD;WMD;ei
2;Burtscheid (bei Aachen);;;;1560;1560;WMD;WMD;ei
2;Orschholz (Saar);;;;1560;1560;WMD;WMD;ei
2;Orschholz (Saar);;;;1560;1560;WMD;WMD;ei
2;Esch;;;;1561;1561;WMD;WMD;ei
2;Hetzerad (Esch);;;;1561;1561;WMD;WMD;ei
2;Salmenror (Esch);;;;1561;1561;WMD;WMD;ei
2;Wavern Hamm (Saar);;;;1561;1561;WMD;WMD;ei
2;Luxingen (Eifel);;;;1563;1563;WMD;WMD;ei
2;Niedermendig;Mendig;;;1563;1563;WMD;WMD;ei
2;Eidenborn Falscheid (Saar);;;;1564;1564;WMD;WMD;ei
4;Schwarzenrheindorf (gegenÃ¼ber Bonn);;;;1564;1564;WMD;WMD;ei
2;Wirf (Eifel);;;;1565;1565;WMD;WMD;ei
2;Wirf (Eifel);;;;1565;1565;WMD;WMD;ei
5;Ebernburg;;;;1567;1567;WMD;WMD;ei
2;Harlingen (Saar);;;;1570;1570;WMD;WMD;ei
5;Spesbach;;;;1570;1570;WMD;WMD;ei
4;Lampertsheim;;;;1571;1571;WMD;WMD;ei
2;Gartzem (bei MÃ¼nstereifel);;;;1573;1573;WMD;WMD;ei
3;Oberwesseling (bei Bonn);;;;1573;1573;WMD;WMD;ei
2;Urmersbach (Mosel);;;;1573;1573 Abschrift 1630;WMD;WMD;ei
2;Piesport (Mosel);;;;1575;1575;WMD;WMD;ei
5;Hattweiler;;;;1575;1575;WMD;WMD;ei
2;NiederprÃ¼m;;;;1576;1576;WMD;WMD;ei
2;Godesberg (bei Bonn);;;;1577;1577;WMD;WMD;ei
4;Weidenhahn;;;;1578;1578;WMD;WMD;ei
3;Alken (Mosel);;;;1578;1578 Abschrift 18. Jh.;WMD;WMD;ei
3;Peterslahr;;;;1579;1579;WMD;WMD;ei
2;Dommershausen;;;;1580;1580;WMD;WMD;ei
2;Moselweis;;;;1580;1580;WMD;WMD;ei
6;Faid;;;;1580;1580;WMD;WMD;ei
3;Niederernst (Mosel);;;;1584;1584;WMD;WMD;ei
5;Wallhaben (bei Landstuhl);;;;1585;1585;WMD;WMD;ei
6;Welschbillich (bei Trier);;;;1585;1585;WMD;WMD;ei
2;Graach;;;;1586;1586;WMD;WMD;ei
2;Krahnenforst (bei MÃ¼nstereifel);;;;1586;1586;WMD;WMD;ei
3;Tholey;;;;1587;1587;WMD;WMD;ei
2;Dreys;;;;1588;1588;WMD;WMD;ei
3;Edingen (bei Echternach);;;;1588;1588;WMD;WMD;ei
4;Bocholt Niederweiler (Eifel);;;;1589;1589;WMD;WMD;ei
2;Temmels;;;;1594;1594;WMD;WMD;ei
2;Osann (Mosel);;;;1595;1595;WMD;WMD;ei
2;Valwig (zwischen Bruttig und Cochem);;;;1598;1598;WMD;WMD;ei
3;Fellerich;;;;1600;1600;WMD;WMD;ei
2;Mannenbach;Mannebach (Beltheim);;;1601;1601;WMD;WMD;ei
4;Pfaffenschwabenheim Rheinhessen;;;;1601;1601;WMD;WMD;ei
2;Sanct Mattheis bei Trier;;;;1604;1604;WMD;WMD;ei
2;Auwe (auf der Kill);;;;1606;1606;WMD;WMD;ei
6;Geisfeld (bei Hermeskeil);;;;1607;1607;WMD;WMD;ei
2;Osann (Mosel);;;;1608;1608;WMD;WMD;ei
3;Barweiler (Eifel);;;;1609;1609;WMD;WMD;ei
2;GrÃ¤ferath (Eifel);;;;1615;1615;WMD;WMD;ei
2;Rissenthal (Saar);;;;1620;1620;WMD;WMD;ei
2;Zinxheim;Zingsheim;;;1622;1622;WMD;WMD;ei
2;Petermarkt;Dagstuhl;;;1623;1623;WMD;WMD;ei
2;Niederuflingen (Mosel);;;;1632;1632;WMD;WMD;ei
2;Ellenz (Mosel);;;;1644;1644;WMD;WMD;ei
2;Halsenbach u. Bickenbach;;;;1647;1647;WMD;WMD;ei
2;Neef (Eifel);;;;1653;1653;WMD;WMD;ei
5;Eisenberg (bei GrÃ¼nstadt und Ramsen);;;;1656;1656;WMD;WMD;ei
2;Immeroth (Eifel);;;;1660;1660;WMD;WMD;ei
6;Brenich (bei Bonn und BrÃ¼hl);;;;1662;1662;WMD;WMD;ei
6;Muestert auch Mosel-MÃ¼nster;;;;1672;1672;WMD;WMD;ei
2;Kern (Mosel);;;;1680;1680;WMD;WMD;ei
2;Trier;;;;1680;1680;WMD;WMD;ei
3;Obergundershausen (bei Bickenbach);;;;1771;1771;WMD;WMD;ei
5;Hornbach (bei ZweibrÃ¼cken);;;;NN;1354 Abschrift 17. Jh.;WMD;WMD;ei
3;Bullay;;;;NN;1363 copie von 1726;WMD;WMD;ei
4;WÃ¶rrstadt (bei Alzey);;;;1350;14. Jh.;WMD;WMD;ei
2;Eidger und Eller (Mosel);;;;1550;16. Jh.;WMD;WMD;ei
2;Eidinger Eller (Mosel);;;;1550;16. Jh.;WMD;WMD;ei
2;Trier;;;;1550;16. Jh.;WMD;WMD;ei
3;Dockweiler (bei Daun);;;;1550;16. Jh.;WMD;WMD;ei
2;Sinzenich;Sinzig;;;1650;17.Jh.;WMD;WMD;ei
2;Wildenburg (Eifel);;;;1650;17.Jh.;WMD;WMD;ei
2;Breisich;Bad Breisig;;;1490;Ende 15. Jh;WMD;WMD;ei
1;Dalsheim;FlÃ¶rsheim-Dalsheim;;;NN;NN;WMD;WMD;ei
2;Arweiler;;;;NN;NN;WMD;WMD;ei
2;Berisborn;Birresborn;;;NN;NN;WMD;WMD;ei
2;BÃ¼desheim;;;;NN;NN;WMD;WMD;ei
2;BÃ¼desheim (PrÃ¼m);;;;NN;NN;WMD;WMD;ei
2;Cleinich;Kleinich;;;NN;NN;WMD;WMD;ei
2;Creutznach;Bad Kreuznach;;;NN;NN;WMD;WMD;ei
2;Crittenach und Obermennig;Krettnach;;;NN;NN;WMD;WMD;ei
2;Flamersheim (bei MÃ¼nstereifel);;;;NN;NN;WMD;WMD;ei
2;GemÃ¼nden (an der Simmer);GemÃ¼nden (HunsrÃ¼ck);;;NN;NN;WMD;WMD;ei
2;Genzingen;;;;NN;NN;WMD;WMD;ei
2;Gondenbret (PrÃ¼m);Gondenbrett;;;NN;NN;WMD;WMD;ei
2;Gondorf (Mosel);;;;NN;NN;WMD;WMD;ei
2;Hottenbach;;;;NN;NN;WMD;WMD;ei
2;Immerath (Eifel);;;;NN;NN;WMD;WMD;ei
2;Kirst Thirn (Mosel);;;;NN;NN;WMD;WMD;ei
2;Kirst und Thirn (Mosel);;;;NN;NN;WMD;WMD;ei
2;Kobern (Mosel);;;;NN;NN;WMD;WMD;ei
2;Lampaden;;;;NN;NN;WMD;WMD;ei
2;Langenlonsheim;;;;NN;NN;WMD;WMD;ei
2;Leningenaltorf (Saar);;;;NN;NN;WMD;WMD;ei
2;Niederfell (Mosel);;;;NN;NN;WMD;WMD;ei
2;Numagen;Neumagen (Mosel);;;NN;NN;WMD;WMD;ei
2;Palzel und Dilmar;;;;NN;NN;WMD;WMD;ei
2;Pellingen;;;;NN;NN;WMD;WMD;ei
2;Praunweiler;Braunweiler;;;NN;NN;WMD;WMD;ei
2;PÃ¼nderich ;;;;NN;NN;WMD;WMD;ei
2;Rhaunen;;;;NN;NN;WMD;WMD;ei
2;RÃ¶ber (Mosel);;;;NN;NN;WMD;WMD;ei
2;SchÃ¶neck (PrÃ¼m);;;;NN;NN;WMD;WMD;ei
2;Trittenheim;;;;NN;NN;WMD;WMD;ei
2;Walemersheim;;;;NN;NN;WMD;WMD;ei
2;Walmersheim (Mosel/Eifel);;;;NN;NN;WMD;WMD;ei
2;Weidelbach ;Altweidelbach;;;NN;NN;WMD;WMD;ei
2;Weier (bei Zingsheim);;;;NN;NN;WMD;WMD;ei
3;Erenberg Dommershausen Dorweiler;Dommershausen;;;NN;NN;WMD;WMD;ei
3;Manderfeld (Eifel);;;;NN;NN;WMD;WMD;ei
4;Miel (bei Ollheim);;;;NN;NN;WMD;WMD;ei
4;Ollheim (zwischen Bonn und Euskirchen);;;;NN;NN;WMD;WMD;ei
4;Siffersheim (Rheinhessen);;;;NN;NN;WMD;WMD;ei
5;Bornheim (bei Landau);;;;NN;NN;WMD;WMD;ei
5;Erpoltzheim (bei DÃ¼rckheim);;;;NN;NN;WMD;WMD;ei
5;Gensheim Ginsheimb;;;;NN;NN;WMD;WMD;ei
5;Herxheim am Berg;;;;NN;NN;WMD;WMD;ei
5;Klein Nidesheim Utzelsheim Bobenheim (bei Worms und Frankenthal);;;;NN;NN;WMD;WMD;ei
5;Nanstuhl Nanstein heute Landstuhl;Landstuhl;;;NN;NN;WMD;WMD;ei
5;Neunkirchen Balborn (bei Winnweiler);;;;NN;NN;WMD;WMD;ei
5;Obercassel Beuel (Bonn gegenÃ¼ber);;;;NN;NN;WMD;WMD;ei
5;Schwengenheim (bei Lingenfeld);;;;NN;NN;WMD;WMD;ei
6;Blasweiler (zwischen Altenahr und Laacher See);;;;NN;NN;WMD;WMD;ei
6;Kyllburg (an der Kyll);;;;NN;NN;WMD;WMD;ei
6;Sechtem (bei Bonn und BrÃ¼hl);;;;NN;NN;WMD;WMD;ei
6;St. Goar;;;;NN;NN;WMD;WMD;ei
6;Zilshausen (bei Caszellaun);;;;NN;NN;WMD;WMD;ei
6;Zuelpich ZÃ¼lpich;;;;NN;NN;WMD;WMD;ei
6;Fickingen Fuckingen (Saarland);;;;1531;1531;WMD;WMD;
6;Gersthofen;X;48,41666667;10,86666667;1510;vor 1511;WOD;Schwaben;
6;Bobingen bei Augsburg;X;48,266667;10,816667;1316;1316;WOD;Schwaben;i
6;Huisheim bei Allerheim;;48,824444;10,704722;1505;1505;WOD;Schwaben;ei
6;Allerheim;;48,84455;10,61892;1353;1353;WOD;Schwaben;ei
6;Holzkirchen bei Ã–ttingen;;48,955278;10,605278;1450;1450;WOD;Schwaben;ei
6;Grosselfingen bei NÃ¶rdlingen;;48,837265;10,56111;NN;Abschrift 17. Jh.;WOD;Schwaben;ei
6;Baldingen bei NÃ¶rdlingen;X;48,858333;10,476667;1686;1686;WOD;Schwaben;
6;Baldingen bei NÃ¶rdlingen;X;48,858333;10,476667;NN;NN;WOD;Schwaben;
6;Ehringen bei NÃ¶rdlingen;;48,877778;10,473889;1484;1484;WOD;Schwaben;ei
6;Offingen bei Wallerstein;X;48,923611;10,468056;1381;1381;WOD;Schwaben;ei
6;Ederheim bei NÃ¶rdlingen;X;48,08889;10,465556;1650;17. Jh.;WOD;Schwaben;
6;Benzenzimmern bei NÃ¶rdlingen;X;48,890156;10,436846;1450;1450;WOD;Schwaben;
6;Pfaunloch bei NÃ¶rdlingen;X;48,850696;10,435048;1480;1480;WOD;Schwaben;
6;Goldburghausen bei NÃ¶rdlingen;;48,850556;10,433889;1575;1575;WOD;Schwaben;ei
6;Goldburghausen bei NÃ¶rdlingen;;48,850556;10,433889;1675;1675;WOD;Schwaben;
6;Ober-Schneidheim bei Marktoffingen;X;48,941667;10,365556;1568;1568;WOD;Schwaben;
6;Itzlingen bei Schneidheim;;48,905126;10,356232;1625;1625;WOD;Schwaben;ei
6;Greggenhofen im AllgÃ¤u bei Sonthofen;;47,570722;10,268194;1387;1387;WOD;Schwaben;ei
6;Weiler zwischen Lindau und Immenstadt;;47,583333;9,933333;1532;1532;WOD;Schwaben;ei
1;Rechtenbach;X;49,98472222;9,511111111;NN;NN;WOD;Baden;
6;Trochtelfingen bei NÃ¶rdlingen;;48,308056;9,244444;1668;1668;WOD;Schwaben;i_ei
6;Trochtelfingen bei NÃ¶rdlingen;;48,308056;9,244444;1416;1416;WOD;Schwaben;
6;Trochtelfingen bei NÃ¶rdlingen;;48,308056;9,244444;1450;15. Jh.;WOD;Schwaben;
6;Trochtelfingen bei NÃ¶rdlingen;;48,308056;9,244444;1501;16. Jh. Anfang;WOD;Schwaben;
6;Kirchheim am Neckar bei Besigheim;X;49,043889;9,146389;1497;1497;WOD;Schwaben;
6;Nordheim bei Heilbron;;49,108611;9,128611;1495;1495;WOD;Schwaben;i
4;Allensbach bei Reichenau;X;47,72;9,07;1397;1397;WOD;Schwaben;
5;Reichartshausen;;49,35694444;8,944444444;1561;1561;WOD;Baden;ei
6;BÃ¼lach Effringen bei Calw;X;48,661111;8,691944;1462;1462;WOD;Schwaben;
1;Dornheim bei Hornberg und Rotweil;X;48,168056;8,624722;1251;1251;WOD;Baden;
6;Rotweil;;48,168056;8,624722;1434;1434;WOD;Schwaben;i_ei
6;Rotweil;;48,168056;8,624722;1574;1574;WOD;Schwaben;ei
6;Altensteig;X;48,58638889;8,604722222;1490;1490;WOD;Schwaben;
6;Eppendorf am Neckar;X;48,249444;8,598333;1550;16. Jh.;WOD;Schwaben;
4;Luszhart bei Bruchsal;X;49,1243;8,5979;1434;1434;WOD;Schwaben;
1;Dornstetten;X;48,47027778;8,499444444;1400;1400;WOD;Baden;
4;Eddersheim;;50,0395;8,4717;1535;1535;WOD;Schwaben;ei
5;SchÃ¶llbronn;X;48,895;8,420555556;1485;1485;WOD;Baden;
5;Freudenstadt;X;48,46333333;8,411111111;1429;1429;WOD;Baden;
1;Betmeringen bei StÃ¼hlingen;X;47,753929;8,362254;NN;NN;WOD;Baden;
1;HÃ¤gbach im Kinzigthal;X;48,290644;8,272019;1487;1487;WOD;Baden;
4;Oppenau;;48,47361111;8,159444444;1450;15. Jh.;WOD;Schwaben;ei
4;Sankt Blasisches Waldamt St. Blasien;;47,761944;8,128333;1383;1383;WOD;Schwaben;i
1;Cappel bei Achern, Oberkirch, Lichtenau;X;48,591111;8,1175;1450;15. Jh.;WOD;Baden;
1;Cappel (bei Achern);X;48,631389;8,073889;1450;15. Jh.;WOD;Schwarzwald;i
1;Sigmonswald(e) bei Waldkirch;X;48,100278;8,055833;NN;NN;WOD;Baden;
1;Stollhofen;X;48,766034;8,049202;NN;NN;WOD;Baden;
1;St. Peter (Hochschwarzwald);X;48,016389;8,0325;1453;1453-1484;WOD;Schwarzwald;i
5;Schwarzwald;X;48;8;1484;1484;WOD;Baden;
1;Attenthal im Dreisamtal;X;47,982778;7,963889;NN;NN;WOD;Baden;
1;Wyler (in der Treisamgegend);X;47,982778;7,963889;NN;NN;WOD;Baden;
1;Blenich = Planich bei Kreuznach;X;49,862498;7,912009;1450;15. Jh.;WOD;Baden;
4;SchÃ¶nau Todtnau Wiesenthal;X;47,786667;7,894167;1321;1321;WOD;Schwaben;
4;SchÃ¶nau und Todtnau Wiesenthal;X;47,786667;7,894167;1373;1373;WOD;Schwaben;
4;SchÃ¶nau Todtnau Wiesenthal;X;47,786667;7,894167;1519;1519;WOD;Schwaben;
4;Auenheim bei Kehl;X;48,6;7,84;1442;1442;WOD;Schwaben;
1;Espach Eschbach bei Staufen am Rhein;X;47,89;7,655;NN;NN;WOD;Baden;
4;Sansbach;;48,139444;7,617222;1432;1432;WOD;Schwaben;i
1;Dornstetten;X;;;1456;1456;WOD;Schwarzwald;i_ei
1;Hachberg;X;;;1341;1341;WOD;Schwarzwald;i
1;Weitnau;X;;;1344;1344;WOD;Schwarzwald;i
1;Kleinkembs;;;;1350;1350;WOD;Schwarzwald;i
1;Rastatt;X;;;1370;1370;WOD;Schwarzwald;i
1;Kirchzarten;X;;;1395;1395;WOD;Schwarzwald;i
1;Zarten;X;;;1397;1397;WOD;Schwarzwald;i
1;Fischingen;X;;;1415;1415;WOD;Schwarzwald;i
1;Dornhaim;X;;;1417;1417;WOD;Schwarzwald;i
5;Sternatingen;;;;1443;1443;WOD;Schwarzwald;i
4;Weiterstadt;;;;1484;1484;WOD;Schwarzwald;i
5;Kuessenberg;;;;1497;1497;WOD;Schwarzwald;i
1;Schwarzach;X;;;1250;13. Jh.;WOD;Schwarzwald;i
4;Neuenzelle;;;;1350;14. Jh.;WOD;Schwarzwald;i
6;St. Trudbert;;;;1450;15. Jh.;WOD;Schwarzwald;i
1;Espach;X;;;NN;NN;WOD;Schwarzwald;i
1;LÃ¶rrach;;;;NN;NN;WOD;Schwarzwald;i
1;Niderneggenheim;X;;;NN;NN;WOD;Schwarzwald;i
4;HÃ¼gelheim am Rhein bei MÃ¼lheim;;;;NN;NN;WOD;Schwarzwald;i
6;Istein Huttingen am Rhein;;;;NN;NN;WOD;Schwarzwald;i
6;Hessigheim;;;;1424;1424;WOD;Schwaben;ei
1;Landsberg (bei Heppenheim);X;;;1430;1430;WOD;Schwarzwald;ei
1;Winterrauch (am Neckar);;;;1507;1507;WOD;Schwarzwald;ei
1;Strassheim;X;;;1533;1533;WOD;Schwarzwald;ei
6;Naeher-Memmingen;;;;NN;Abschrift 17. Jh. Z.T. 1366;WOD;Schwaben;ei
6;Kloster Anhausen (bei Heidenheim und GeiÃŸlingen);;;;NN;NN;WOD;Schwaben;ei
1;Saspach Sasbach;X;;;NN;NN;WOD;Schwarzwald;ei
6;Augsburg;;;;1316;1316;WOD;Schwaben;
